chain-size,access,prefetch,cycles,instructions,cache-references,cache-misses
256m,forward 1,none,225,216,176,212
256m,forward 1,nta,281,269,267,265
256m,forward 1,t0,221,215,170,203
256m,forward 1,t1,220,215,195,210
256m,forward 1,t2,235,228,188,222
256m,forward 10,none,201,167,195,197
256m,forward 10,nta,196,163,152,186
256m,forward 10,t0,191,161,182,182
256m,forward 10,t1,191,159,185,187
256m,forward 10,t2,190,163,184,187
256m,forward 100,none,84,82,48,74
256m,forward 100,nta,94,79,73,92
256m,forward 100,t0,80,78,47,74
256m,forward 100,t1,73,73,71,69
256m,forward 100,t2,84,83,46,78
256m,reverse 1,none,235,219,196,217
256m,reverse 1,nta,313,293,296,290
256m,reverse 1,t0,236,233,224,221
256m,reverse 1,t1,284,274,230,261
256m,reverse 1,t2,245,232,228,221
256m,reverse 10,none,203,164,195,195
256m,reverse 10,nta,196,162,153,193
256m,reverse 10,t0,187,155,166,181
256m,reverse 10,t1,190,162,155,181
256m,reverse 10,t2,182,145,181,180
256m,reverse 100,none,79,74,77,78
256m,reverse 100,nta,96,78,62,87
256m,reverse 100,t0,82,81,42,76
256m,reverse 100,t1,81,78,75,74
256m,reverse 100,t2,83,79,75,75
256m,random,none,629,570,617,619
256m,random,nta,856,797,828,848
256m,random,t0,610,561,554,585
256m,random,t1,611,567,570,602
256m,random,t2,610,567,583,602
512m,forward 1,none,409,399,374,396
512m,forward 1,nta,561,531,531,533
512m,forward 1,t0,400,394,376,381
512m,forward 1,t1,398,395,370,382
512m,forward 1,t2,389,386,335,367
512m,forward 10,none,366,329,358,360
512m,forward 10,nta,363,334,356,358
512m,forward 10,t0,337,309,327,333
512m,forward 10,t1,361,332,354,355
512m,forward 10,t2,357,327,348,351
512m,forward 100,none,139,124,132,135
512m,forward 100,nta,159,130,152,157
512m,forward 100,t0,144,132,123,137
512m,forward 100,t1,146,134,105,131
512m,forward 100,t2,153,130,142,148
512m,reverse 1,none,471,454,440,434
512m,reverse 1,nta,629,575,600,593
512m,reverse 1,t0,487,472,438,447
512m,reverse 1,t1,445,428,413,410
512m,reverse 1,t2,429,417,388,397
512m,reverse 10,none,626,499,567,606
512m,reverse 10,nta,331,292,314,321
512m,reverse 10,t0,352,318,311,336
512m,reverse 10,t1,345,312,317,335
512m,reverse 10,t2,345,309,336,336
512m,reverse 100,none,145,127,137,143
512m,reverse 100,nta,163,130,126,158
512m,reverse 100,t0,140,127,134,136
512m,reverse 100,t1,164,143,151,155
512m,reverse 100,t2,140,127,96,133
512m,random,none,1196,1073,1173,1176
512m,random,nta,1656,1510,1638,1640
512m,random,t0,1433,1277,1361,1398
512m,random,t1,1212,1108,1188,1191
512m,random,t2,1198,1102,1179,1179
1g,forward 1,none,788,764,755,749
1g,forward 1,nta,1043,1000,1004,1006
1g,forward 1,t0,773,757,742,737
1g,forward 1,t1,765,748,694,719
1g,forward 1,t2,795,779,765,763
1g,forward 10,none,724,632,707,709
1g,forward 10,nta,1064,852,1040,1042
1g,forward 10,t0,703,635,647,682
1g,forward 10,t1,709,634,690,695
1g,forward 10,t2,680,605,636,657
1g,forward 100,none,264,222,237,260
1g,forward 100,nta,270,229,265,268
1g,forward 100,t0,261,219,216,253
1g,forward 100,t1,269,231,229,255
1g,forward 100,t2,266,222,235,261
1g,reverse 1,none,877,820,811,823
1g,reverse 1,nta,1139,1093,1074,1089
1g,reverse 1,t0,915,865,867,859
1g,reverse 1,t1,921,862,869,872
1g,reverse 1,t2,914,859,867,864
1g,reverse 10,none,708,596,653,679
1g,reverse 10,nta,684,595,637,668
1g,reverse 10,t0,678,603,654,661
1g,reverse 10,t1,660,554,630,631
1g,reverse 10,t2,672,605,622,656
1g,reverse 100,none,259,212,241,256
1g,reverse 100,nta,244,200,219,235
1g,reverse 100,t0,263,222,259,262
1g,reverse 100,t1,260,225,220,254
1g,reverse 100,t2,270,220,217,258
1g,random,none,2393,1944,2348,2357
1g,random,nta,3724,2560,3656,3656
1g,random,t0,2919,2211,2850,2846
1g,random,t1,2395,1996,2328,2351
1g,random,t2,2353,1965,2275,2309
