cycles,instructions,cache-references,cache-misses,chain size (bytes),operations per chain
615,543,568,601,268435456,4194304
605,547,571,597,268435456,4194304
618,554,604,608,268435456,4194304
606,548,589,596,268435456,4194304
605,547,591,592,268435456,4194304
1207,1085,1189,1187,536870912,8388608
1165,1050,1146,1149,536870912,8388608
1193,1068,1157,1177,536870912,8388608
1169,1053,1146,1148,536870912,8388608
1178,1064,1157,1157,536870912,8388608
2356,1915,2321,2320,1073741824,16777216
2297,1909,2259,2258,1073741824,16777216
2354,1906,2316,2318,1073741824,16777216
2333,1928,2296,2294,1073741824,16777216
2348,1906,2312,2310,1073741824,16777216
