cache-hit-rate,cycles,cache-references,cache-misses,pointer size (bytes),cache line size (bytes),page size (bytes),chain size (bytes),thread size (bytes),test size (bytes),chains per thread,number of threads,iterations,loop length,prefetch hint,experiments,access pattern,stride,numa placement,offset or mask,numa domains,domain map,operations per chain,total operations,elapsed time (seconds),elapsed time (timer ticks),clock resolution (ns),memory latency (ns),memory bandwidth (MB/s)
-0.005291005,200,189,190,8,64,4096,268435456,268435456,268435456,1,1,10,0,none,1,forward,1,local,0,1,0:00,4194304,4194304,0.264,23336570,11.29,6.28,10186.406
-0.160550459,263,218,253,8,64,4096,268435456,268435456,268435456,1,1,10,0,nta,1,forward,1,local,0,1,0:00,4194304,4194304,0.4,37753037,10.59,9.54,6711.761
0.00952381,221,210,208,8,64,4096,268435456,268435456,268435456,1,1,10,0,t0,1,forward,1,local,0,1,0:00,4194304,4194304,0.275,27419192,10.01,6.54,9778.599
-0.005208333,206,192,193,8,64,4096,268435456,268435456,268435456,1,1,10,0,t1,1,forward,1,local,0,1,0:00,4194304,4194304,0.284,22838678,12.46,6.78,9435.719
-0.106145251,208,179,198,8,64,4096,268435456,268435456,268435456,1,1,10,0,t2,1,forward,1,local,0,1,0:00,4194304,4194304,0.257,20456490,12.57,6.13,10436.98
-0.265734266,196,143,181,8,64,4096,268435456,268435456,268435456,1,1,10,0,none,1,forward,10,local,0,1,0:00,419431,419431,0.255,24050507,10.59,60.75,1053.573
-0.021978022,193,182,186,8,64,4096,268435456,268435456,268435456,1,1,10,0,nta,1,forward,10,local,0,1,0:00,419431,419431,0.234,20764419,11.29,55.9,1144.824
-0.118012422,186,161,180,8,64,4096,268435456,268435456,268435456,1,1,10,0,t0,1,forward,10,local,0,1,0:00,419431,419431,0.222,17809343,12.46,52.89,1210.037
-0.236111111,184,144,178,8,64,4096,268435456,268435456,268435456,1,1,10,0,t1,1,forward,10,local,0,1,0:00,419431,419431,0.204,24993996,8.15,48.56,1317.943
-0.021978022,188,182,186,8,64,4096,268435456,268435456,268435456,1,1,10,0,t2,1,forward,10,local,0,1,0:00,419431,419431,0.233,20876317,11.18,55.63,1150.549
-0.209677419,81,62,75,8,64,4096,268435456,268435456,268435456,1,1,10,0,none,1,forward,100,local,0,1,0:00,41944,41944,0.021,2875343,7.45,51.08,1253.055
0,94,90,90,8,64,4096,268435456,268435456,268435456,1,1,10,0,nta,1,forward,100,local,0,1,0:00,41944,41944,0.055,5515252,10.01,131.64,486.156
0.012987013,82,77,76,8,64,4096,268435456,268435456,268435456,1,1,10,0,t0,1,forward,100,local,0,1,0:00,41944,41944,0.023,2283632,10.01,54.51,1174.127
0.013157895,82,76,75,8,64,4096,268435456,268435456,268435456,1,1,10,0,t1,1,forward,100,local,0,1,0:00,41944,41944,0.022,2079740,10.71,53.11,1205.155
-0.228571429,89,70,86,8,64,4096,268435456,268435456,268435456,1,1,10,0,t2,1,forward,100,local,0,1,0:00,41944,41944,0.045,4538644,10.01,108.33,590.765
